age,experience_years,education_level,job_role,city,company_size,salary
57,22.0,phd,designer,paris,small,66816.33628088917
43,20.0,bachelor,manager,tehran,large,68299.44947129731
36,27.0,,developer,london,medium,96190.16559389397
18,32.0,high_school,data_scientist,amsterdam,small,75246.19124701615
47,7.0,bachelor,data_scientist,paris,large,44910.51002136198
20,12.0,master,analyst,tehran,large,38751.14441704676
36,29.0,bachelor,data_scientist,amsterdam,medium,69919.8820939979
32,13.0,high_school,designer,paris,large,42244.600143495365
58,25.0,master,data_scientist,london,small,78099.63574043762
31,,,manager,london,medium,38066.56509352732
50,11.0,bachelor,data_scientist,london,large,62460.534417497096
40,7.0,phd,data_scientist,london,small,63269.13911580214
26,18.0,,manager,paris,small,67220.60037898592
50,24.0,high_school,developer,,large,62971.29784993691
48,20.0,bachelor,developer,amsterdam,large,68992.46311718819
45,22.0,phd,analyst,berlin,medium,80921.5281702722
28,13.0,master,designer,tehran,medium,43431.07379078635
35,14.0,master,manager,amsterdam,small,53102.33945034847
26,0.0,master,data_scientist,paris,large,45346.99432002361
55,3.0,phd,designer,tehran,medium,41451.96769319485
59,18.0,high_school,analyst,london,large,60338.337501217684
47,18.0,bachelor,manager,paris,small,60040.71880598801
58,15.0,phd,manager,paris,large,78784.04528346629
33,18.0,bachelor,developer,berlin,medium,53152.629718235
27,9.0,high_school,designer,berlin,medium,29653.025348072424
32,2.0,high_school,manager,tehran,small,23861.71220779742
38,27.0,phd,analyst,amsterdam,medium,77248.58945525526
52,8.0,master,manager,tehran,small,45603.97180324109
29,16.0,high_school,developer,paris,small,42973.38201847013
43,31.0,master,designer,london,large,81700.5889727526
19,,phd,analyst,amsterdam,large,52529.411592211894
49,0.0,phd,designer,london,medium,49861.35489048967
37,10.0,bachelor,designer,berlin,medium,39854.54544717175
19,2.0,master,manager,amsterdam,medium,50503.82470722319
18,,phd,designer,berlin,medium,349197.5913885416
32,34.0,bachelor,data_scientist,berlin,medium,85113.65582272192
22,10.0,master,analyst,tehran,medium,27759.728746040328
26,20.0,master,manager,berlin,large,73105.67552098059
54,10.0,phd,developer,london,medium,59746.17018990498
54,2.0,phd,developer,tehran,medium,30467.68765847899
50,5.0,master,analyst,paris,large,39170.19766867869
52,,master,analyst,london,small,49976.289674503794
59,34.0,master,designer,london,small,77983.30162724425
25,,bachelor,data_scientist,london,large,59948.61464184124
19,0.0,master,manager,tehran,large,33195.20002433573
30,31.0,bachelor,data_scientist,amsterdam,large,77395.1662281486
18,22.0,high_school,developer,berlin,large,55021.913348388676
39,4.0,phd,analyst,london,large,61492.89821858848
56,27.0,,data_scientist,paris,large,77540.72884097551
42,15.0,phd,data_scientist,london,small,61697.32085398132
40,,master,designer,london,large,56499.013693899695
21,8.0,high_school,analyst,london,large,38694.844104954376
37,3.0,high_school,developer,london,medium,31476.241543858945
30,18.0,bachelor,developer,tehran,small,39191.2026874547
48,17.0,master,data_scientist,paris,medium,67167.1744826619
19,15.0,high_school,data_scientist,london,large,45656.68790372164
22,17.0,master,manager,berlin,large,68139.35943332405
34,33.0,bachelor,analyst,,large,83300.86439486404
28,0.0,high_school,developer,amsterdam,small,19141.967333240973
29,,bachelor,data_scientist,tehran,small,58901.79220741918
44,32.0,phd,data_scientist,london,medium,94075.57883708074
25,29.0,phd,analyst,berlin,small,79658.91636700618
53,21.0,phd,data_scientist,london,medium,83190.81368319181
20,7.0,phd,developer,berlin,large,46825.07546112267
26,2.0,,developer,paris,small,36066.66395765564
34,10.0,bachelor,manager,tehran,large,42506.89934967116
31,6.0,phd,designer,berlin,small,40673.36253745002
34,11.0,master,manager,london,large,67994.82498676995
27,0.0,master,designer,berlin,large,35326.20032145908
47,16.0,high_school,data_scientist,tehran,medium,45197.65944296265
57,18.0,master,manager,paris,small,66492.98844429952
23,3.0,master,analyst,berlin,large,47443.40486974084
18,34.0,high_school,manager,,small,82826.97783947628
48,15.0,master,analyst,,small,51977.17896495058
49,33.0,bachelor,data_scientist,berlin,medium,81708.16336186175
59,13.0,high_school,manager,tehran,small,41332.752434129216
54,,bachelor,data_scientist,amsterdam,large,84435.2816737263
33,24.0,bachelor,developer,berlin,large,328926.56342916243
27,28.0,bachelor,designer,,medium,70538.34859877678
31,30.0,phd,manager,london,large,107336.48903396289
40,21.0,master,developer,berlin,medium,68114.40657356867
53,27.0,high_school,developer,berlin,large,70841.96230975904
57,1.0,master,analyst,paris,medium,40467.866640009146
49,20.0,bachelor,analyst,tehran,large,57593.14289280952
57,4.0,phd,designer,paris,medium,60222.356051600036
54,22.0,phd,developer,london,large,82071.8419011759
37,29.0,master,developer,london,medium,74625.20314598166
38,9.0,master,developer,berlin,small,38478.01071769199
37,34.0,master,designer,berlin,large,79960.78484104219
40,25.0,,developer,,large,84866.46032933544
30,0.0,master,manager,london,large,48177.49103702971
34,0.0,master,data_scientist,berlin,large,46823.36135038098
55,4.0,bachelor,manager,paris,medium,38522.31871160306
54,25.0,bachelor,developer,berlin,large,69401.55730343134
27,4.0,phd,developer,london,small,36610.254019058295
19,5.0,bachelor,analyst,tehran,large,28310.30239338316
34,17.0,phd,designer,london,medium,66985.336166128
39,31.0,high_school,manager,paris,large,81005.42489113999
42,15.0,,designer,,small,43055.941512338584
49,16.0,high_school,analyst,tehran,medium,45736.200120540656
19,27.0,high_school,manager,tehran,small,56492.99223192153
50,20.0,bachelor,manager,amsterdam,medium,67632.32222022169
23,27.0,,manager,amsterdam,small,80108.06045654828
59,1.0,phd,designer,berlin,medium,217845.7697178418
49,8.0,bachelor,data_scientist,london,small,39501.83329909566
48,21.0,bachelor,manager,london,medium,71907.02897834382
40,8.0,phd,data_scientist,berlin,medium,59145.02989977122
47,24.0,bachelor,analyst,paris,small,58168.5759092204
44,,phd,analyst,amsterdam,small,42598.95157738834
20,24.0,high_school,designer,paris,small,48068.4797978327
26,25.0,phd,designer,london,medium,77780.33016784662
22,13.0,high_school,manager,amsterdam,large,47352.68740078753
47,16.0,bachelor,analyst,tehran,small,40378.81001942095
54,25.0,master,analyst,london,small,70780.54857876193
41,4.0,high_school,developer,paris,large,34401.926440742194
43,9.0,high_school,developer,berlin,large,38605.59300489209
50,15.0,phd,data_scientist,berlin,large,75661.78276413343
20,22.0,phd,manager,paris,large,78471.47324549688
34,26.0,high_school,manager,london,small,61303.24613634792
42,27.0,bachelor,analyst,tehran,small,49500.216286400995
21,33.0,master,analyst,paris,medium,72790.1029586235
53,14.0,bachelor,manager,amsterdam,large,72253.03150511463
55,10.0,master,developer,tehran,medium,44174.1329344727
34,23.0,high_school,developer,berlin,large,60900.938850101826
48,21.0,master,developer,amsterdam,small,61399.498204950665
34,1.0,master,data_scientist,london,small,44107.16345639426
45,10.0,bachelor,designer,tehran,small,25084.989852717747
22,17.0,master,developer,tehran,small,42446.10954628865
47,3.0,phd,data_scientist,london,medium,55303.39547666801
42,18.0,phd,analyst,amsterdam,medium,74770.8710257278
22,28.0,bachelor,data_scientist,london,large,78197.40359188286
51,11.0,bachelor,data_scientist,tehran,small,37580.64932753192
48,14.0,master,designer,,small,50731.40590339803
42,4.0,master,data_scientist,tehran,medium,36372.09851116601
56,2.0,high_school,designer,paris,large,29032.870964624643
21,34.0,master,developer,tehran,small,62483.601971027296
28,,bachelor,analyst,berlin,large,42595.85496358527
25,16.0,master,manager,london,medium,67236.66365152942
37,31.0,master,data_scientist,,large,102923.56145489679
20,26.0,master,manager,,large,71176.26364366827
56,5.0,master,designer,amsterdam,medium,41518.81611834027
40,16.0,phd,designer,amsterdam,large,69882.86406892221
47,15.0,phd,data_scientist,tehran,medium,68132.05650522877
43,33.0,master,analyst,tehran,large,76532.70419321914
26,11.0,master,analyst,berlin,small,43914.54165683383
33,24.0,phd,developer,tehran,medium,77871.38454732831
58,12.0,master,manager,amsterdam,medium,55534.400722598795
28,19.0,phd,designer,tehran,small,52728.67856514445
41,4.0,high_school,designer,tehran,small,10565.374969216726
28,13.0,high_school,data_scientist,tehran,large,51697.80042984822
37,21.0,bachelor,developer,amsterdam,medium,64169.40685018257
38,7.0,bachelor,manager,paris,small,47333.62967185868
40,12.0,high_school,developer,berlin,small,35630.91296681769
56,34.0,phd,analyst,london,small,94943.70559526767
42,29.0,bachelor,manager,tehran,large,74362.89000275622
24,27.0,,developer,tehran,medium,72805.54403559357
56,12.0,bachelor,data_scientist,tehran,small,50283.479627530185
30,23.0,master,data_scientist,tehran,small,56770.8518254853
26,26.0,bachelor,analyst,paris,small,60829.109601989214
53,31.0,bachelor,designer,paris,medium,78180.88042502193
59,31.0,bachelor,analyst,berlin,small,72767.84923512867
34,20.0,phd,designer,berlin,medium,68732.76612617857
42,21.0,high_school,manager,paris,small,46373.481345779
54,34.0,bachelor,developer,berlin,medium,89571.437616725
31,4.0,master,analyst,london,medium,35482.14966139919
36,22.0,bachelor,designer,paris,small,55068.23340297347
33,,high_school,manager,london,small,30513.561282615527
41,31.0,high_school,designer,amsterdam,small,61526.53147609571
56,29.0,phd,data_scientist,paris,small,92172.73183523447
31,11.0,high_school,data_scientist,berlin,small,31037.35043002035
43,27.0,high_school,manager,,small,52216.79883999638
44,29.0,phd,data_scientist,paris,small,90539.00512064659
54,7.0,bachelor,designer,london,large,45783.706587894565
53,24.0,master,analyst,,medium,66914.98743318809
29,31.0,bachelor,manager,,small,77048.10986267994
28,19.0,master,data_scientist,tehran,large,71843.12762678381
45,23.0,,developer,tehran,small,48026.498945951105
57,13.0,master,manager,paris,large,69356.57539431287
59,14.0,phd,analyst,paris,large,62403.567065256015
32,,phd,data_scientist,berlin,large,100062.33027333971
50,9.0,bachelor,analyst,tehran,small,22486.08853937049
23,18.0,phd,manager,amsterdam,small,65301.60431504702
25,34.0,phd,designer,london,small,87029.0272763927
49,25.0,phd,designer,tehran,small,72293.45422206566
51,18.0,phd,developer,london,large,73059.04529596213
57,29.0,phd,data_scientist,paris,small,86561.61984085187
55,28.0,phd,developer,london,medium,90792.61670855706
22,5.0,bachelor,data_scientist,tehran,medium,23490.859664345728
37,20.0,master,analyst,london,small,56551.721119150665
59,30.0,phd,developer,london,small,94339.23876003665
55,0.0,bachelor,manager,tehran,medium,28426.5037852702
28,27.0,master,developer,tehran,large,75331.4308046158
47,0.0,master,analyst,london,small,27711.50556727994
58,20.0,bachelor,developer,paris,small,67112.42359727461
25,5.0,bachelor,analyst,,medium,27359.64612179337
57,5.0,master,manager,amsterdam,medium,56399.93520465921
25,11.0,phd,data_scientist,amsterdam,large,65758.30296104541
22,31.0,master,manager,paris,medium,99126.57137348596
44,15.0,high_school,data_scientist,tehran,small,41556.34783988677
50,3.0,phd,developer,paris,large,49148.73632414403
47,0.0,master,analyst,tehran,large,29879.885981153784
22,,high_school,developer,,medium,59462.26076644309
26,,bachelor,data_scientist,amsterdam,large,60338.0587262886
41,18.0,phd,designer,tehran,large,73482.61225606228
56,20.0,,data_scientist,paris,medium,75112.80121855666
57,20.0,phd,manager,amsterdam,medium,87668.3445080704
31,17.0,master,analyst,tehran,large,59513.078106911526
49,29.0,master,manager,berlin,small,75823.8048554404
22,16.0,high_school,data_scientist,tehran,medium,33980.680589967145
46,5.0,phd,developer,tehran,large,53637.76594890506
58,0.0,high_school,analyst,paris,small,30298.595372921744
18,3.0,high_school,analyst,paris,medium,27882.79363212177
49,,master,analyst,berlin,small,25803.455300023874
42,2.0,master,manager,tehran,medium,45053.006787673585
57,29.0,master,designer,,medium,74674.71358095671
51,17.0,master,developer,london,large,69770.37241157494
21,15.0,phd,data_scientist,,medium,64198.03930207803
44,11.0,high_school,analyst,berlin,medium,38132.32728208325
56,10.0,high_school,analyst,london,small,44698.67133022259
22,18.0,,developer,london,small,54941.51027148026
20,20.0,bachelor,analyst,london,large,58561.996862056054
19,26.0,phd,data_scientist,,large,77189.61973790053
30,19.0,master,developer,paris,medium,53467.640666015686
29,20.0,phd,designer,london,medium,80989.81508912108
49,24.0,bachelor,data_scientist,london,large,80363.12717316285
34,19.0,high_school,developer,paris,medium,54077.77092667989
22,12.0,high_school,developer,amsterdam,small,31689.315787326195
43,18.0,phd,data_scientist,tehran,medium,65139.877300824264
35,4.0,high_school,data_scientist,tehran,medium,27758.96477067656
30,28.0,high_school,designer,tehran,large,56945.79616220088
23,3.0,high_school,developer,berlin,large,32966.33339138117
39,23.0,master,data_scientist,tehran,small,57006.53933231525
58,,master,data_scientist,tehran,small,57687.07056615454
56,19.0,high_school,analyst,berlin,large,53919.79689757777
30,,phd,designer,amsterdam,small,73860.63847747992
22,13.0,,designer,paris,large,56732.98040567475
48,34.0,high_school,analyst,amsterdam,large,79296.2568921537
40,31.0,high_school,developer,paris,large,77001.41257270872
43,24.0,phd,manager,berlin,large,90751.37077247653
26,1.0,master,designer,tehran,large,24856.97065748146
32,14.0,bachelor,data_scientist,london,medium,51484.20658388138
35,23.0,master,analyst,berlin,large,71182.76620372097
25,1.0,master,developer,berlin,medium,40517.39938177412
45,11.0,bachelor,analyst,amsterdam,small,40623.083736572415
44,17.0,phd,data_scientist,tehran,small,56558.19562376631
24,,master,manager,tehran,medium,56711.2845529108
25,19.0,master,manager,amsterdam,small,62641.49849135443
44,1.0,high_school,manager,tehran,medium,24247.289302133802
22,5.0,phd,manager,amsterdam,small,56571.565497599106
46,10.0,phd,designer,berlin,medium,53263.21533407646
50,30.0,bachelor,analyst,london,small,76868.1866662787
53,0.0,bachelor,analyst,amsterdam,large,29237.296286216017
32,24.0,master,data_scientist,paris,small,65255.10133527071
47,5.0,phd,analyst,tehran,medium,42394.54570022624
23,10.0,master,data_scientist,london,large,56420.49395084755
49,31.0,bachelor,data_scientist,paris,large,88881.21428930793
51,,master,analyst,tehran,small,60023.79596662215
22,24.0,master,designer,london,large,75194.0484250781
40,7.0,phd,designer,paris,small,40449.09098470216
34,,phd,manager,london,medium,64725.08362413413
33,13.0,high_school,analyst,london,medium,55258.44161388308
22,1.0,high_school,analyst,london,medium,30009.09009724679
43,1.0,phd,analyst,tehran,small,35186.20322663287
25,16.0,phd,developer,paris,medium,57443.24873995909
39,19.0,high_school,data_scientist,london,small,66232.71252587895
38,24.0,bachelor,data_scientist,tehran,small,50365.95463609217
43,14.0,phd,designer,amsterdam,small,53303.35841581831
33,26.0,phd,analyst,berlin,medium,81433.26855309658
46,4.0,bachelor,designer,london,large,38642.8876001079
40,25.0,high_school,designer,london,large,65550.77527916817
55,4.0,master,developer,london,large,46330.74250007718
28,27.0,bachelor,data_scientist,london,medium,70937.39563548002
36,4.0,phd,data_scientist,paris,medium,64823.587508659206
18,2.0,phd,manager,berlin,large,37630.499535667834
44,4.0,phd,designer,amsterdam,medium,37339.81346418374
51,11.0,high_school,manager,london,medium,55071.26469277726
27,27.0,high_school,data_scientist,paris,large,75734.04192696759
26,20.0,master,analyst,amsterdam,medium,60445.23524126698
28,22.0,phd,manager,berlin,medium,82329.49558557663
59,0.0,phd,data_scientist,berlin,small,43773.29128139262
57,2.0,bachelor,data_scientist,tehran,medium,25965.576480525277
25,23.0,high_school,manager,amsterdam,large,71809.11487918205
36,16.0,,analyst,berlin,medium,71046.69714185278
28,5.0,phd,designer,tehran,small,29379.920191579593
53,31.0,high_school,data_scientist,paris,small,81108.52549814543
48,9.0,phd,designer,tehran,small,48930.58342324807
20,,phd,manager,amsterdam,large,89042.66360004127
36,33.0,high_school,manager,paris,large,82757.11276174878
31,,phd,data_scientist,amsterdam,small,72883.25963188337
42,29.0,phd,designer,berlin,medium,64773.18457203513
30,20.0,phd,analyst,tehran,small,58867.494772720784
32,19.0,bachelor,designer,tehran,medium,41044.292561859096
36,27.0,phd,developer,amsterdam,large,85397.29434231341
24,16.0,master,developer,london,small,54532.65139010669
41,14.0,high_school,data_scientist,amsterdam,large,57851.56527315942
27,0.0,master,developer,amsterdam,small,34524.18029351454
43,10.0,bachelor,analyst,amsterdam,medium,45549.74250628029
31,21.0,high_school,designer,london,small,56891.43780131502
27,22.0,high_school,analyst,paris,medium,53395.27592780292
43,18.0,master,developer,berlin,medium,56461.614123521285
31,2.0,high_school,analyst,amsterdam,medium,25757.061480402146
54,16.0,high_school,data_scientist,london,medium,59151.219442108064
27,5.0,phd,designer,berlin,small,37008.01981592781
33,23.0,bachelor,analyst,london,large,78610.79822038766
38,3.0,bachelor,manager,tehran,large,34490.49312656415
35,28.0,high_school,manager,london,large,76684.72976827508
46,4.0,phd,manager,london,small,55119.061953755954
46,3.0,master,developer,london,medium,41294.540212321896
23,2.0,,manager,amsterdam,large,42203.15357291758
44,19.0,bachelor,manager,amsterdam,large,66018.4878325238
33,,master,analyst,,medium,41244.02295647985
37,33.0,master,analyst,amsterdam,medium,82262.03361846581
18,23.0,bachelor,analyst,amsterdam,small,53449.47233076808
35,15.0,,analyst,berlin,medium,58174.32505174384
57,13.0,high_school,manager,tehran,small,48714.278628212924
52,12.0,,developer,paris,large,59664.22135047171
27,11.0,phd,manager,amsterdam,medium,60061.239357531435
33,0.0,master,designer,paris,small,17617.144168908544
54,6.0,high_school,manager,berlin,large,44476.31232129465
59,23.0,bachelor,analyst,amsterdam,large,75020.43141091589
43,29.0,high_school,analyst,london,large,78696.2985579281
48,9.0,bachelor,manager,berlin,small,49946.0834644757
39,4.0,phd,developer,amsterdam,medium,57935.58280836129
45,23.0,master,manager,berlin,medium,72454.00498558593
25,24.0,high_school,data_scientist,paris,small,53372.078509753446
19,12.0,master,manager,london,small,45479.41926011385
25,5.0,master,developer,tehran,large,175851.13916195263
55,20.0,high_school,analyst,paris,small,49975.516514023424
38,23.0,phd,manager,tehran,medium,75741.14691886771
45,23.0,master,designer,tehran,medium,51412.790471903165
21,13.0,,developer,,large,48408.320122579695
59,22.0,master,developer,paris,large,64393.25448756868
55,21.0,phd,designer,amsterdam,medium,75102.65517048136
30,29.0,,developer,paris,large,71624.30867168306
54,10.0,phd,designer,amsterdam,small,53075.59061644765
56,32.0,master,designer,london,medium,76372.7098735091
26,23.0,master,data_scientist,paris,medium,72792.13965243322
41,7.0,bachelor,developer,tehran,medium,25341.086989191284
53,16.0,high_school,designer,,medium,40515.31039180526
51,11.0,high_school,manager,tehran,large,45670.59098978064
23,14.0,bachelor,designer,paris,medium,50385.09711409149
20,1.0,phd,manager,tehran,small,37259.93738060401
37,24.0,master,manager,paris,large,82744.26288925276
24,22.0,phd,data_scientist,berlin,large,86713.59663940339
20,2.0,phd,designer,tehran,medium,34057.42592788104
20,19.0,high_school,developer,london,large,66734.65907975059
47,9.0,high_school,designer,berlin,large,38749.65649013903
23,11.0,phd,manager,,medium,56725.411527961485
43,22.0,master,manager,,small,65227.68085010006
43,32.0,bachelor,designer,london,medium,69384.88187642342
